"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT04395924","Maternal-foetal Transmission of SARS-Cov-2","TMF-COVID-19","Recruiting","No Results Available","Maternal Fetal Infection Transmission|COVID-19|SARS-CoV 2","Diagnostic Test: Diagnosis of SARS-Cov2 by RT-PCR and : IgG, Ig M serologies in the amniotoc fluid, the blood cord and the placenta","COVID-19 by positive PCR in cord blood and / or positive serologies|COVID-19 by positive PCR in amniotic fluid and placenta|New born infected by COVID-19","Centre Hospitalier Régional d'Orléans|Centre de Biophysique Moléculaire - Pr Chantal Pichon|Professeur TOUMI Hechmi","Female","18 Years to 48 Years   (Adult)",,"50","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","CHRO-2020-10","May 5, 2020","May 2021","May 2021","May 20, 2020",,"June 4, 2020","CHR Orléans, Orléans, France",,"https://ClinicalTrials.gov/show/NCT04395924"
2,"NCT04395482","Lung CT Scan Analysis of SARS-CoV2 Induced Lung Injury","TAC-COVID19","Recruiting","No Results Available","covid19","Other: Lung CT scan analysis in COVID-19 patients","A qualitative analysis of parenchymal lung damage induced by COVID-19|A quantitative analysis of parenchymal lung damage induced by COVID-19|The potential impact of parenchymal morphological CT scans in patients with severe moderate respiratory failure.|Automated segmentation of lung scans of patients with COVID-19 and ARDS.|Knowledge of chest CT features in COVID-19 patients and their detail through the use of machine learning and other quantitative techniques.|The ability within which the analysis of artificial intelligence that uses deep learning models can be used to predict clinical outcomes","University of Milano Bicocca","All","18 Years and older   (Adult, Older Adult)",,"500","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","TAC-COVID19","April 15, 2020","June 15, 2020","October 15, 2020","May 20, 2020",,"May 26, 2020","Ospedale Papa Giovanni XXIII, Bergamo, Italy|Policlinico San Marco-San Donato group, Bergamo, Italy|Azienda Ospedaliero-Universitaria di Ferrara, Ferrara, Italy|ASST di Lecco Ospedale Alessandro Manzoni, Lecco, Italy|ASST Melegnano-Martesana, Ospedale Santa Maria delle Stelle, Melzo, Italy|ASST Monza, Monza, Italy|AUSL Romagna-Ospedale Infermi di Rimini, Rimini, Italy|Istituto per la Sicurezza Sociale-Ospedale della Repubblica di San Marino, San Marino, San Marino",,"https://ClinicalTrials.gov/show/NCT04395482"
3,"NCT04367805","COVID-19 Infection in Patients With Hepatocellular Carcinoma","COVID19-CHIEF","Recruiting","No Results Available","Hepatocellular Carcinoma|COVID-19","Diagnostic Test: nasopharyngeal Covid 19 RT-PCR","Incidence of COVID-19 infection in patients with hepatocellular carcinoma in France","Centre Hospitalier Universitaire, Amiens|Centre Hospitalier-Universitaire Bondy|University Hospital, Bordeaux|Centre Hospitalier-Universitaire CLICHY|Centre Hospitalier Général CORBEIL-ESSONNE|CHU CRETEIL|University Hospital, Grenoble|University Hospital, Lille|CHU LYON|Poitiers University Hospital|Rennes University Hospital|University Hospital, Rouen|University Hospital, Toulouse|CHU VILLEJUIF|Central Hospital, Nancy, France|Centre Hospitalier Universitaire de Nice|University Hospital, Montpellier","All","18 Years and older   (Adult, Older Adult)",,"50","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","PI2020_843_0042","April 27, 2020","October 2020","October 2020","April 29, 2020",,"April 29, 2020","CHU Amiens, Amiens, France",,"https://ClinicalTrials.gov/show/NCT04367805"
4,"NCT04427332","Smell and Taste Disorders in COVID-19 Patients","COVID-19 ORL","Recruiting","No Results Available","covid19","Other: Investigation of smell and taste disorders","Identification of demographic and clinical factors in covid19 patients.|Description of the disturbances of smell and taste|Description of factors that influence smell and taste","University of Milano Bicocca","All","18 Years and older   (Adult, Older Adult)",,"500","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","COVID-19 ORL","May 15, 2020","June 30, 2020","September 30, 2020","June 11, 2020",,"June 11, 2020","ASST Monza-Ospedale San Gerardo, Monza, Italy",,"https://ClinicalTrials.gov/show/NCT04427332"
5,"NCT04372004","Comparison of the Efficacy of Rapid Tests to Identify COVID-19 Infection (CATCh COVID-19)","CATCH COVID-19","Not yet recruiting","No Results Available","COVID-19","Diagnostic Test: diagnostic tests for COVID-19 infection","Compare the efficacy of detection of viral infection using serology and viral-RNA detection kits|Define the temporal trend of antibodies in blood","Texas Cardiac Arrhythmia Research Foundation","All","18 Years to 85 Years   (Adult, Older Adult)","Not Applicable","100","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","TCAI_CATCH COVID-19","May 2020","May 2021","June 2021","May 1, 2020",,"May 8, 2020",,,"https://ClinicalTrials.gov/show/NCT04372004"
6,"NCT04403672","Performance Evaluation of RealDetect™ COVID-19 RT-PCR Kit for the Detection of SARS-CoV-2 Virus",,"Recruiting","No Results Available","High Sensitivity and Specificity (With 95% Confidence Interval) of RealDetect™ COVID-19 RT-PCR Kit","Device: performance evaluation study of RealDetect RT-PCR Kit for COVID-19 detection","Performance evaluation of RealDetect™ COVID-19 RT-PCR kit|Reduce the price of RT-PCR based COVID-19 diagnostic test kits.","Bangladesh Medical Research Council (BMRC)","All","5 Years to 65 Years   (Child, Adult, Older Adult)",,"120","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","30005052020","May 18, 2020","July 24, 2020","July 24, 2020","May 27, 2020",,"May 28, 2020","Institute of Epidemiology, Disease Control and Research (IEDCR), Mohakhali, Dhaka (For sample collection & sample storage), Institute for Developing Science & Health Initiatives (ideSHi); Mohakhali, Dhaka (For sample analysis, data collection, data analys, Dhaka, Bangladesh",,"https://ClinicalTrials.gov/show/NCT04403672"
7,"NCT04407585","Testing the Accuracy of a Digital Test to Diagnose Covid-19",,"Recruiting","No Results Available","Covid-19","Diagnostic Test: Covid-19 swab PCR test","SARS-CoV-2 infection","King's College London|Zoe Global Limited|Department of Health, United Kingdom","All","18 Years and older   (Adult, Older Adult)",,"1000000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Covid-19 Validation Study","June 1, 2020","May 10, 2021","May 10, 2021","May 29, 2020",,"June 24, 2020","King's College London, London, United Kingdom","""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/85/NCT04407585/SAP_000.pdf","https://ClinicalTrials.gov/show/NCT04407585"
8,"NCT04386109","Neonatal Complications of Coronavirus Disease (COVID-19)",,"Recruiting","No Results Available","Neonatal COVID-19 Disease","Other: No intervention - exposure is to COVID-19","Incidence of neonatal COVID-19|Incidence of vertically transmitted COVID-19|Presentation and natural history of neonatal COVID-19|Presentation of neonates with COVID-19 positive mothers|Outcomes for neonates with COVID-19|Clinical treatment of neonatal COVID-19|Neonatal secondary impacts of maternal COVID-19","University of Oxford|Imperial College London|University of Leicester|University of Nottingham|University of Glasgow|University Hospital of Wales|Public Health England|St George's, University of London","All","up to 29 Days   (Child)",,"500","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","14905","April 1, 2020","March 31, 2021","September 30, 2021","May 13, 2020",,"May 13, 2020","Imperial College, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04386109"
9,"NCT04356560","COVID-19 Surveillance of Patients and Healthcare Workers in a Hospital Department",,"Enrolling by invitation","No Results Available","COVID-19","Diagnostic Test: COVID-19 test, polymerase chain reaction for SARS-CoV-2","Incidence of healthcare workers with SARS-CoV-2|Incidence of ENT patients with SARS-CoV-2|Development of SARS-CoV-2 antibodies among healthcare workers|Sensitivity and specificity of a COVID-19 screening symptom questionnaire among healthcare workers|SARS CoV-2 and bacterial super infections in upper respiratory airways","Rigshospitalet, Denmark","All","Child, Adult, Older Adult",,"300","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","DT P-2020-353","March 23, 2020","September 30, 2020","December 31, 2020","April 22, 2020",,"April 24, 2020","Rigshospitalet University Hospital of Copenhagen, Copenhagen, Denmark",,"https://ClinicalTrials.gov/show/NCT04356560"
10,"NCT04416061","The Role of a Private Hospital in Hong Kong Amid COVID-19 Pandemic","COVID-19","Active, not recruiting","No Results Available","COVID","Diagnostic Test: COVID 19 Diagnostic Test","Proportion of asymptomatic subjects|Proportion of subjects with recent contact history|Proportion of subjects with recent travel history","Hong Kong Sanatorium & Hospital","All","Child, Adult, Older Adult",,"2500","Industry","Observational","Observational Model: Cohort|Time Perspective: Retrospective","RC-2020-08","May 25, 2020","July 31, 2020","August 31, 2020","June 4, 2020",,"June 4, 2020","Hong Kong Sanatorium & Hospital, Hong Kong, Hong Kong",,"https://ClinicalTrials.gov/show/NCT04416061"
